fecha_hora,nodo_id,fuente,profundidad_fondo_m,calado_m,profundidad_libre_m,profundidad_libre_sin_compensar_m,tension_cabo_kg,nivel_lago_cm,temperatura_agua_c,mecanismo_activo,estado_alerta,dias_retraso_validacion
2026-03-01 00:00:00,nodo_01,sensor,7.404,5.051,2.353,2.353,19.13,-0.44,13.1,False,normal,
2026-03-01 00:00:00,nodo_02,sensor,5.88,4.853,1.027,0.909,23.99,-0.44,13.1,True,alerta,
2026-03-01 06:00:00,nodo_01,sensor,7.362,5.016,2.346,2.346,18.64,-0.73,12.83,False,normal,
2026-03-01 06:00:00,nodo_02,sensor,5.85,4.783,1.067,0.777,25.04,-0.73,12.83,True,alerta,
2026-03-01 12:00:00,nodo_01,sensor,7.413,4.974,2.439,2.439,19.1,0.95,13.12,False,normal,
2026-03-01 12:00:00,nodo_02,sensor,5.938,4.915,1.023,0.923,24.42,0.95,13.12,True,alerta,
2026-03-01 18:00:00,nodo_01,sensor,7.423,4.939,2.484,2.484,20.31,-0.12,12.68,False,normal,
2026-03-01 18:00:00,nodo_02,sensor,5.84,4.812,1.028,0.906,25.67,-0.12,12.68,True,alerta,
2026-03-02 00:00:00,nodo_01,sensor,7.369,4.921,2.448,2.448,21.16,-0.06,13.28,False,normal,
2026-03-02 00:00:00,nodo_02,sensor,5.883,4.868,1.015,0.95,24.05,-0.06,13.28,True,alerta,
2026-03-02 06:00:00,nodo_01,sensor,7.379,5.031,2.348,2.348,21.55,-0.06,12.9,False,normal,
2026-03-02 06:00:00,nodo_02,sensor,5.927,4.918,1.009,0.969,24.91,-0.06,12.9,True,alerta,
2026-03-02 12:00:00,nodo_01,sensor,7.386,4.979,2.407,2.407,21.77,-0.83,13.35,False,normal,
2026-03-02 12:00:00,nodo_02,sensor,5.865,4.812,1.053,0.823,25.82,-0.83,13.35,True,alerta,
2026-03-02 18:00:00,nodo_01,sensor,7.41,5.077,2.333,2.333,19.95,-0.12,12.83,False,normal,
2026-03-02 18:00:00,nodo_02,sensor,5.946,4.869,1.077,1.077,18.73,-0.12,12.83,False,alerta,
2026-03-03 00:00:00,nodo_01,sensor,7.428,5.001,2.427,2.427,19.2,0.11,13.35,False,normal,
2026-03-03 00:00:00,nodo_02,sensor,5.856,4.825,1.031,0.895,26.49,0.11,13.35,True,alerta,
2026-03-03 06:00:00,nodo_01,sensor,7.432,5.016,2.416,2.416,19.21,0.44,12.89,False,normal,
2026-03-03 06:00:00,nodo_02,sensor,5.92,4.895,1.025,0.915,26.83,0.44,12.89,True,alerta,
2026-03-03 12:00:00,nodo_01,sensor,7.387,4.982,2.405,2.405,21.91,-0.5,13.24,False,normal,
2026-03-03 12:00:00,nodo_02,sensor,5.886,4.867,1.019,1.019,18.02,-0.5,13.24,False,alerta,
2026-03-03 18:00:00,nodo_01,sensor,7.39,5.02,2.37,2.37,22.83,-0.55,12.8,False,normal,
2026-03-03 18:00:00,nodo_02,sensor,5.9,4.866,1.034,0.887,25.26,-0.55,12.8,True,alerta,
2026-03-04 00:00:00,nodo_01,sensor,7.363,4.95,2.413,2.413,20.15,-0.46,12.56,False,normal,
2026-03-04 00:00:00,nodo_02,sensor,5.882,4.856,1.026,0.915,25.38,-0.46,12.56,True,alerta,
2026-03-04 06:00:00,nodo_01,sensor,7.393,4.942,2.451,2.451,21.71,-0.56,13.15,False,normal,
2026-03-04 06:00:00,nodo_02,sensor,5.917,4.88,1.037,0.877,24.01,-0.56,13.15,True,alerta,
2026-03-04 12:00:00,nodo_01,sensor,7.374,5.004,2.37,2.37,19.26,0.04,13.48,False,normal,
2026-03-04 12:00:00,nodo_02,sensor,5.928,4.881,1.047,0.843,26.69,0.04,13.48,True,alerta,
2026-03-04 18:00:00,nodo_01,sensor,7.374,5.024,2.35,2.35,18.62,0.57,13.08,False,normal,
2026-03-04 18:00:00,nodo_02,sensor,5.952,4.949,1.003,0.991,24.89,0.57,13.08,True,alerta,
2026-03-05 00:00:00,,boletin_oficial,,,,,,-0.49,13.5,,,4
2026-03-05 00:00:00,nodo_01,sensor,7.424,5.026,2.398,2.398,22.05,-0.74,13.25,False,normal,
2026-03-05 00:00:00,nodo_02,sensor,5.969,4.965,1.004,0.985,25.07,-0.74,13.25,True,alerta,
2026-03-05 06:00:00,nodo_01,sensor,7.358,4.934,2.424,2.424,20.78,-0.53,13.31,False,normal,
2026-03-05 06:00:00,nodo_02,sensor,5.904,4.871,1.033,0.891,25.89,-0.53,13.31,True,alerta,
2026-03-05 12:00:00,nodo_01,sensor,7.399,4.939,2.46,2.46,21.57,-0.58,13.33,False,normal,
2026-03-05 12:00:00,nodo_02,sensor,5.934,4.903,1.031,0.897,23.94,-0.58,13.33,True,alerta,
2026-03-05 18:00:00,nodo_01,sensor,7.426,5.021,2.405,2.405,21.23,-0.25,12.83,False,normal,
2026-03-05 18:00:00,nodo_02,sensor,5.954,4.944,1.01,0.966,24.24,-0.25,12.83,True,alerta,
2026-03-06 00:00:00,nodo_01,sensor,7.432,5.027,2.405,2.405,24.1,-0.4,13.03,False,normal,
2026-03-06 00:00:00,nodo_02,sensor,5.899,4.89,1.009,0.969,25.32,-0.4,13.03,True,alerta,
2026-03-06 06:00:00,nodo_01,sensor,7.381,5.036,2.345,2.345,20.71,-1.22,13.24,False,normal,
2026-03-06 06:00:00,nodo_02,sensor,5.886,4.865,1.021,0.928,23.1,-1.22,13.24,True,alerta,
2026-03-06 12:00:00,nodo_01,sensor,7.409,5.005,2.404,2.404,20.95,-1.2,12.95,False,normal,
2026-03-06 12:00:00,nodo_02,sensor,5.941,4.92,1.021,0.929,24.16,-1.2,12.95,True,alerta,
2026-03-06 18:00:00,nodo_01,sensor,7.402,5.028,2.374,2.374,21.62,-0.84,12.76,False,normal,
2026-03-06 18:00:00,nodo_02,sensor,5.923,4.921,1.002,0.992,23.97,-0.84,12.76,True,alerta,
2026-03-07 00:00:00,nodo_01,sensor,7.393,5.044,2.349,2.349,22.16,-0.78,13.2,False,normal,
2026-03-07 00:00:00,nodo_02,sensor,5.892,4.84,1.052,0.825,26.86,-0.78,13.2,True,alerta,
2026-03-07 06:00:00,nodo_01,sensor,7.366,4.988,2.378,2.378,19.27,-1.06,13.35,False,normal,
2026-03-07 06:00:00,nodo_02,sensor,5.892,4.825,1.067,0.776,22.57,-1.06,13.35,True,alerta,
2026-03-07 12:00:00,nodo_01,sensor,7.362,4.983,2.379,2.379,22.34,-1.14,13.14,False,normal,
2026-03-07 12:00:00,nodo_02,sensor,5.892,4.851,1.041,0.865,23.47,-1.14,13.14,True,alerta,
2026-03-07 18:00:00,nodo_01,sensor,7.481,5.032,2.449,2.449,16.96,1.71,12.92,False,normal,
2026-03-07 18:00:00,nodo_02,sensor,5.923,4.91,1.013,0.956,26.65,1.71,12.92,True,alerta,
2026-03-08 00:00:00,nodo_01,sensor,7.376,4.984,2.392,2.392,20.48,-1.36,13.64,False,normal,
2026-03-08 00:00:00,nodo_02,sensor,5.838,4.775,1.063,0.791,27.27,-1.36,13.64,True,alerta,
2026-03-08 06:00:00,nodo_01,sensor,7.352,4.976,2.376,2.376,21.9,-0.24,13.45,False,normal,
2026-03-08 06:00:00,nodo_02,sensor,5.876,4.832,1.044,0.854,26.54,-0.24,13.45,True,alerta,
2026-03-08 12:00:00,nodo_01,sensor,7.35,4.995,2.355,2.355,17.01,-1.13,12.86,False,normal,
