flow_id,src_addr,src_port,dst_addr,dst_port,ip_prot,timestamp,flow_duration,down_up_ratio,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_var,pkt_len_std,bytes_per_s,pkt_per_s,fwd_pkt_per_s,bwd_pkt_per_s,fwd_pkt_cnt,fwd_pkt_len_tot,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,fwd_pkt_hdr_len_tot,fwd_pkt_hdr_len_min,fwd_non_empty_pkt_cnt,bwd_pkt_cnt,bwd_pkt_len_tot,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,bwd_pkt_hdr_len_tot,bwd_pkt_hdr_len_min,bwd_non_empty_pkt_cnt,iat_max,iat_min,iat_mean,iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,flag_SYN,flag_fin,flag_rst,flag_ack,flag_psh,fwd_flag_psh,bwd_flag_psh,flag_urg,fwd_flag_urg,bwd_flag_urg,flag_cwr,flag_ece,fwd_bulk_bytes_mean,fwd_bulk_pkt_mean,fwd_bulk_rate_mean,bwd_bulk_bytes_mean,bwd_bulk_pkt_mean,bwd_bulk_rate_mean,fwd_subflow_bytes_mean,fwd_subflow_pkt_mean,bwd_subflow_bytes_mean,bwd_subflow_pkt_mean,fwd_tcp_init_win_bytes,bwd_tcp_init_win_bytes,label
192.168.132.79-216.239.34.223-53448-443-6,192.168.132.79,53448,216.239.34.223,443,6,1782935978448779,262586,0.833333,1448.0,0.0,381.545455,353255.878788,594.353328,31966.669967,83.782075,45.699314,38.082761,12,2117,1448.0,0.0,176.416667,421.040153,392,32,5,10,6277,1448.0,0.0,627.7,695.820547,328,32,5,206453.0,1.0,12504.095238,45821.638155,262586,207067.0,2.0,23871.454545,62688.635109,261381,206453.0,1.0,29042.333333,68633.780247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,21,8,4,4,0,0,0,0,0,0.0,0.0,0.0,5596.0,4.0,16507374.631268,2117.0,12.0,6277.0,10.0,64240,28960,NeedLabel
192.168.132.79-216.239.34.223-53440-443-6,192.168.132.79,53440,216.239.34.223,443,6,1782935978448747,263468,0.833333,1448.0,0.0,381.545455,353237.593074,594.337945,31859.656581,83.501602,45.546328,37.955274,12,2117,1448.0,0.0,176.416667,421.040153,392,32,5,10,6277,1448.0,0.0,627.7,695.789887,328,32,5,206349.0,0.0,12546.095238,45801.488428,263468,206882.0,2.0,23951.636364,62615.695314,262240,206349.0,0.0,29137.777778,68575.410715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,21,8,4,4,0,0,0,0,0,0.0,0.0,0.0,5596.0,4.0,15852691.21813,2117.0,12.0,6277.0,10.0,64240,28960,NeedLabel
192.168.132.79-213.133.111.15-42322-443-6,192.168.132.79,42322,213.133.111.15,443,6,1782935980723310,1153802,1.222222,1448.0,0.0,272.1,248325.568421,498.322755,4716.580488,17.333997,7.800298,9.533698,9,742,423.0,0.0,82.444444,140.240963,296,32,5,11,4700,1448.0,0.0,427.272727,630.258533,360,32,4,934550.0,2.0,60726.421053,216738.912231,943255,935818.0,83.0,117906.875,330488.371548,1152263,934550.0,2.0,115226.3,294931.925228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,19,9,5,4,0,0,0,0,0,319.0,4.0,63889.445223,0.0,0.0,0.0,742.0,9.0,4700.0,11.0,64240,28960,NeedLabel
192.168.132.79-213.133.111.15-42338-443-6,192.168.132.79,42338,213.133.111.15,443,6,1782935981980878,632239,1.222222,1448.0,0.0,273.65,251538.344737,501.535985,8656.536531,31.633607,14.235123,17.398484,9,746,423.0,0.0,82.888889,140.566216,296,32,5,11,4727,1448.0,0.0,429.727273,634.483111,360,32,4,417253.0,3.0,33275.736842,104075.430726,422810,417598.0,84.0,52851.25,147385.975942,631941,417253.0,3.0,63194.1,139871.29172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,19,8,5,3,0,0,0,0,0,323.0,4.0,69702.201122,0.0,0.0,0.0,746.0,9.0,4727.0,11.0,64240,28960,NeedLabel
192.168.132.79-213.133.111.15-42340-443-6,192.168.132.79,42340,213.133.111.15,443,6,1782935982722709,638576,1.333333,1448.0,0.0,260.0,232199.5,481.870833,8550.27436,32.885671,14.093859,18.791812,9,743,423.0,0.0,82.555556,140.321159,296,32,5,12,4717,1448.0,0.0,393.083333,602.310469,392,32,5,421729.0,2.0,31928.8,102714.519218,427275,422036.0,79.0,53409.375,148953.957485,638274,421729.0,2.0,58024.909091,135576.436377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,20,10,5,5,0,0,0,0,0,320.0,4.0,68891.280947,0.0,0.0,0.0,743.0,9.0,4717.0,12.0,64240,28960,NeedLabel
192.168.132.79-213.133.111.15-47930-443-6,192.168.132.79,47930,213.133.111.15,443,6,1782935983470802,639308,1.333333,1448.0,0.0,259.857143,237651.528571,487.495157,8535.791825,32.848017,14.077722,18.770295,9,743,423.0,0.0,82.555556,140.321159,296,32,5,12,4714,1448.0,0.0,392.833333,610.543399,392,32,5,421538.0,0.0,31965.4,102623.779179,427387,421881.0,83.0,53423.375,148886.757056,639065,421538.0,0.0,58096.818182,135429.421175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,20,10,5,5,0,0,0,0,0,320.0,4.0,64166.833768,0.0,0.0,0.0,743.0,9.0,4714.0,12.0,64240,28960,NeedLabel
192.168.132.79-213.133.111.15-47942-443-6,192.168.132.79,47942,213.133.111.15,443,6,1782935984217967,633413,1.636364,1448.0,0.0,468.793103,392650.455665,626.618269,21463.089643,45.783715,17.366237,28.417478,11,745,423.0,0.0,67.727273,130.037757,360,32,5,18,12850,1448.0,0.0,713.888889,684.897063,584,32,11,417667.0,1.0,22621.892857,86491.219727,632976,417955.0,83.0,63297.6,140856.367013,633019,417667.0,1.0,37236.411765,109755.092301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,28,14,5,9,0,0,0,0,0,322.0,4.0,71223.180712,10167.0,9.0,1808752.890945,745.0,11.0,12850.0,18.0,64240,28960,NeedLabel
192.168.132.79-213.133.111.15-47944-443-6,192.168.132.79,47944,213.133.111.15,443,6,1782935985010420,1372603,1.444444,1448.0,0.0,602.772727,472131.342495,687.118143,19322.411506,32.055882,13.11377,18.942112,18,709,412.0,0.0,39.388889,101.262117,596,32,5,26,25813,1448.0,0.0,992.807692,646.801238,840,32,19,943420.0,1.0,31921.0,147933.945008,1372532,943745.0,83.0,80737.176471,231167.51202,1372283,943420.0,1.0,54891.32,192314.927154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,43,18,5,13,0,0,0,0,0,297.0,4.0,63084.11215,23130.0,17.0,106867.619065,709.0,18.0,25813.0,26.0,64240,28960,NeedLabel
192.168.132.79-213.133.111.15-47958-443-6,192.168.132.79,47958,213.133.111.15,443,6,1782935986389876,839285,1.769231,1448.0,0.0,554.944444,456749.025397,675.832099,23803.594726,42.893654,15.489375,27.404279,13,714,412.0,0.0,54.923077,117.102136,436,32,5,23,19264,1448.0,0.0,837.565217,698.51367,744,32,16,417893.0,0.0,23979.571429,81624.205734,839177,418235.0,84.0,69931.416667,131591.407659,837777,417893.0,0.0,38080.772727,101124.609355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,35,16,5,11,0,0,0,0,0,302.0,4.0,61986.863711,16582.0,14.0,78987.10541,714.0,13.0,19264.0,23.0,64240,28960,NeedLabel
192.168.132.79-213.133.111.15-47968-443-6,192.168.132.79,47968,213.133.111.15,443,6,1782935987247562,633296,1.5,1448.0,0.0,344.04,315732.79,561.90105,13581.326899,39.476011,15.790404,23.685607,10,713,412.0,0.0,71.3,130.223782,328,32,5,15,7888,1448.0,0.0,525.866667,664.679178,488,32,8,417922.0,0.0,26387.333333,93191.964063,633049,418236.0,63.0,70338.777778,147619.273074,633036,417922.0,0.0,45216.857143,120204.111817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,24,10,5,5,0,0,0,0,0,301.0,4.0,63852.354688,5205.0,6.0,979856.927711,713.0,10.0,7888.0,15.0,64240,28960,NeedLabel
